Symbol,Enterprise Value,Enterprise Value Date,EBIT,EBIT Date,Earnings Yield
O,0.0,2011-12-31,157.7565,2008-12-31,Infinity
HST,0.0,2011-12-31,223.0,2010-12-31,Infinity
KTWO,-0.5,2000-12-31,-1.5,2000-12-31,3.0
ASPX,-14.4,2002-12-31,-41.6701,2002-12-31,2.893756944444444
SNOW,-22.3,2001-12-31,-52.2792,2001-12-31,2.344358744394619
PZN,21.8,2011-12-31,34.62,2011-12-31,1.5880733944954126
MN,138.03375555266882,2012-12-31,199.51944068888866,2012-12-31,1.4454394860883073
CNVR,-19.1,2010-01-31,-20.171,2010-01-31,1.0560732984293193
MRVL,1573.4,2012-01-31,779.9,2012-01-31,0.49567814923096476
REGI,379.9527844740437,2013-12-31,157.67659816272183,2013-12-31,0.41498997929700243
UTIW,1400.3,2012-01-31,480.4,2012-01-31,0.3430693422837963
FCNCA,1759.1,2011-12-31,532.39,2011-12-31,0.30264908191688933
RBCAA,614.6,2011-12-31,159.44,2011-12-31,0.25942076147087534
ERIE,3335.8408512559663,2012-12-31,854.6166646400414,2012-12-31,0.2561922773738659
GSOL,128.9,2011-12-31,30.11,2011-12-31,0.23359193173002327
AI,157.1,2011-12-31,36.41,2011-12-31,0.23176320814767662
AGX,185.48453246354026,2013-01-31,41.23081893747356,2013-01-31,0.22228710065394852
PDLI,1180.8494853820225,2012-12-31,257.9885976909173,2012-12-31,0.21847712251613008
CUBE,290.4,1999-12-31,63.42,1999-12-31,0.21838842975206613
STC,659.0973240939603,2012-12-31,139.96053518120794,2012-12-31,0.21235184860385703
AGO,3049.2,2011-12-31,642.02,2011-12-31,0.21055358782631511
CVI,3595.1342533096963,2012-12-31,697.6156482143814,2012-12-31,0.19404439418977285
ESI,818.0530933110388,2012-12-31,140.27965091906597,2012-12-31,0.17147988567745576
CTB,1805.1324744626065,2012-12-31,298.04972296644934,2012-12-31,0.1651123821564285
VLCCF,234.2,2011-12-31,38.2,2011-12-31,0.16310845431255339
LF,482.8072707213978,2012-12-31,77.55854585572042,2012-12-31,0.16064079925688465
UFS,3336.5,2011-12-28,534.06,2011-12-28,0.16006593735950844
CQB,1383.473766688285,2012-12-31,220.86524666234303,2012-12-31,0.1596454171957616
SC,99720.4,2004-12-31,15757.4262,2004-12-31,0.15801607494554776
SB,696.1,2012-12-31,109.0,2012-12-31,0.15658669731360436
DF,2657.071029052185,2012-12-31,415.84517089220236,2012-12-31,0.15650510142385626
GTS,592.6353909126718,2012-12-31,89.35758468468114,2012-12-31,0.15078003449484928
AMC,3759.0,2012-12-31,564.6073170731707,2012-12-31,0.1502014676970393
WNR,3777.407642322822,2012-12-31,551.0175988463236,2012-12-31,0.14587189178965318
GOV,18.5,2006-12-31,2.6684,2006-12-31,0.14423783783783783
ATNI,502.2969185278996,2012-12-31,71.95158152378393,2012-12-31,0.14324511831499012
GPT,4751.6,2003-12-31,666.5367,2003-12-31,0.14027626483710748
NEM,16583.2059529241,2012-12-31,2313.7588094151797,2012-12-31,0.1395242160040349
HLF,2998.4,2011-12-31,414.36,2011-12-31,0.13819370330843117
CSH,1852.2119735454933,2012-12-31,255.74253800519915,2012-12-31,0.13807411984042964
JNS,1491.6,2011-12-31,205.45,2011-12-31,0.1377379994636632
USMO,247.6420123961371,2012-12-31,33.59275584951479,2012-12-31,0.13565047192307017
EXXI,3410.9,2012-01-29,462.03,2012-01-29,0.1354569175290979
JBL,4963.88865713659,2013-08-31,672.3421684675232,2013-08-31,0.1354466658918499
EIG,1021.5668354228237,2012-12-31,137.88663291543526,2012-12-31,0.1349756355964359
ABT,65285.53131343749,2012-12-31,8809.221924141153,2012-12-31,0.13493375556442752
NWLI,718.2441753171857,2012-12-31,96.06146875402781,2012-12-31,0.13374486289652937
MYRG,472.3961749162289,2012-12-31,62.432015868242644,2012-12-31,0.1321602908391751
KCG,2744.4552670099256,2012-12-31,360.6889465980148,2012-12-31,0.13142460397650574
AE,245.14494618446724,2013-09-26,31.84111814527903,2013-09-26,0.12988690422081617
